nguy hiểm,Krwawy,Đẫm máu,pl
nguy hiểm,Ludzkie Lub Zwierzęce Odchody,Chất thải của con người hoặc động vật,pl
nguy hiểm,Miejsc Zbrodni Lub Wypadków,Hiện trường vụ án hoặc tai nạn,pl
nguy hiểm,Wybuchów,Vụ nổ,pl
nguy hiểm,Itsemurhapommittaja,Đánh bom liều chết,pl
nguy hiểm,Bomby Z Gwoździami,Bom đinh,pl
nguy hiểm,Bomby Chemiczne,Bom hóa học,pl
nguy hiểm,Granaty,Lựu đạn,pl
nguy hiểm,Petardy,Pháo nổ,pl
nguy hiểm,Podręczniki Dotyczące Konstruowania Bomb,Hướng dẫn chế tạo bom,pl
nguy hiểm,Broń Myśliwska,Vũ khí săn bắn,pl
nguy hiểm,Broń Pneumatyczna,Vũ khí khí nén,pl
nguy hiểm,Broń Asg,Súng hơi hạng nhẹ,pl
nguy hiểm,Amunicja,Đạn dược,pl
nguy hiểm,Broń Chemiczna,Vũ khí hóa học,pl
nguy hiểm,Gwiazdki Do Rzucania,Ném sao,pl
nguy hiểm,Pistolety,Súng ngắn,pl
nguy hiểm,Kastety,Đốt ngón tay bằng đồng,pl
nguy hiểm,Gaz Pieprzowy,Bình xịt hơi cay,pl
nguy hiểm,Noże Wojskowe,Dao quân sự,pl
nguy hiểm,Noże Bojowe,Dao chiến đấu,pl
nguy hiểm,Tytoń Do Żucia,Nhai thuốc lá,pl
nguy hiểm,Fajki,Tẩu thuốc lá,pl
nguy hiểm,Metamfetamina,Ma túy đá,pl
nguy hiểm,Substytuty Kokainy,Chất thay thế cocaine,pl
nguy hiểm,Mefedron,,pl
nguy hiểm,Używanie Narkotyków,Sử dụng ma túy,pl
nguy hiểm,Internetowe Kasyna,Sòng bài trực tuyến,pl
nguy hiểm,Sprzedaż Kuponów Loteryjnych Lub Zdrapek Online,Sổ số trực tuyến hoặc bán thẻ cao,pl
nguy hiểm,Internetowe Zakłady Sportowe,Cá cược thể thao trực tuyến,pl
nguy hiểm,Heroina,,pl
nguy hiểm,Marihuana,Cần sa,pl
nguy hiểm,Zmiażdżenie Szyi,Bóp cổ,pl
nguy hiểm,Metod Samobójstwa,Phương thức tự sát,pl
nguy hiểm,Walki Psów,Chọi chó,pl
nguy hiểm,Handel Rogiem Nosorożca,Buôn bán sừng tê giác,pl
nguy hiểm,Zagrożenia Terrorystyczne,Đe dọa khủng bố,pl
nguy hiểm,Handel Ludzkimi Narządami,Buôn bán nội tạng người,pl
nguy hiểm,Okaleczania Żeńskich Narządów Płciowych,Cắt bộ phận sinh dục nữ,pl
nguy hiểm,Zamieszki Na Tle Religijnym,Bạo loạn tôn giáo,pl
nguy hiểm,Rasowe Zamieszki,Bạo loạn chủng tộc,pl
nguy hiểm,Zabijanie Na Zlecenie,Hợp đồng giết người,pl
nguy hiểm,Odcięto Głowę,Chặt đầu,pl
nguy hiểm,Podżeganie Do Przemocy,Kích động bạo lực,pl
nguy hiểm,Wykorzystywanie Dzieci,Bóc lột trẻ em,pl
nguy hiểm,Metody Kradzieży,Phương thức trộm cắp,pl
nguy hiểm,Przewodnik Po Oszustwach,Hướng dẫn gian lận,pl
nguy hiểm,Metody Samobójstwa,Các phương pháp tự tử,pl
nguy hiểm,Zbrojownia,Kho vũ khí,pl
nguy hiểm,Biją Kobiety,Đánh đập phụ nữ,pl
nguy hiểm,Czystki Etniczne,Thanh lọc sắc tộc,pl
