URL,Lần thu thập dữ liệu cuối cùng
https://1library.co/article/ámbito-aplicación-preámbulo-organización-capítulo-formación-del-personal.yerxo8eq,1970-01-01
https://1library.co/article/ámbito-sistemas-presupuestos-fondos-comunitarios.q0pe12gz,1970-01-01
https://1library.co/article/índice-de-flujo-humedad-gravimétrica-humedad-volumétrica.q26l5npz,1970-01-01
https://1library.co/article/acción-del-sector-público-estatal-en-el-exterior.zl1jn1ly,1970-01-01
https://1library.co/article/aceptándose-mismo-mccurdy-john-curso-creadorazgo.y9rm0rdy,1970-01-01
https://1library.co/article/activación-coniguración-detallada-owner-instructions-tft-lcd-television.yr3ledp7,1970-01-01
https://1library.co/article/actividades-principales-descripción-del-negocio.y6e319vg,1970-01-01
https://1library.co/article/actuación-dirección-regional-agraria-ucayali-otorgamiento-constancias-posesión.q7wj9lkn,1970-01-01
https://1library.co/article/adaptación-bogart-e-economic-history-american-people-págs.zlvg0gry,1970-01-01
https://1library.co/article/admisibilidad-recurso-revisión-decisión-jurisdiccional.q2peg92y,1970-01-01
https://1library.co/article/afrontamiento-niños-hospitalizados-efectos-psicológicos-hospitalización-niño.z1lv7eeq,1970-01-01
https://1library.co/article/aftas-bucales-molestias-gastrointestinales-producidas-vareniclina.zpn8nonr,1970-01-01
https://1library.co/article/agenda-del-gobierno-digital-felipe-calderón.qokx04jy,1970-01-01
https://1library.co/article/algunas-apreciaciones-finales-un-trabajo-que-habla.zke8d0ez,1970-01-01
https://1library.co/article/alteraciones-de-los-tejidos-duros-del-diente.zlg4ljp2,1970-01-01
https://1library.co/article/ambiente-colaborativo-fortalecimiento-producción-textos-mediante-ambiente-virtual.q2n7gg6q,1970-01-01
https://1library.co/article/ambio-puntuaciones-medias-personalidad-respecto-desarrollo-personalidad-adolescencia.y69g277y,1970-01-01
https://1library.co/article/aminas-y-derivados-problemas-de-química-orgánica.yng8883p,1970-01-01
https://1library.co/article/anàlisi-sociodemogràfic-mapa-socioeducatiu.zlg6d1mo,1970-01-01
https://1library.co/article/análisis-de-datos-estatus-de-residencia.y4m77k0y,1970-01-01
https://1library.co/article/análisis-de-la-posición-laboral-horizontal.ozlg8gy4,1970-01-01
https://1library.co/article/análisis-de-las-fuerzas-de-porter-análisis-externo.y4wo9850,1970-01-01
https://1library.co/article/análisis-de-objetivos-y-estrategias-plan-estratégico.y4w6knkv,1970-01-01
https://1library.co/article/análisis-del-ambiente-mercadotécnico-de-la-rupol.yjjov1py,1970-01-01
https://1library.co/article/análisis-discusión-habilidades-sociales-relación-edad-inicio-relaciones.myj1j6py,1970-01-01
https://1library.co/article/análisis-discusión-resultados-estudio-procesos-productivos-incrementar-l.y62v48oz,1970-01-01
https://1library.co/article/análisis-discusión-resultados-propuesta-sistema-gestión-calidad-bajo.q02nkpgy,1970-01-01
https://1library.co/article/análisis-encuesta-diagnóstico-encuesta-diagnóstico.ydxmkxez,1970-01-01
https://1library.co/article/análisis-experiencia-comunicación-marketing-servicios-transporte-público.q02x22gy,1970-01-01
https://1library.co/article/análisis-fuerzas-del-mercado-caracterización-del-sector.wyer3j0q,1970-01-01
https://1library.co/article/análisis-interpretación-encuestas-aplicadas-clientes.yde8j4jq,1970-01-01
